17960 ; 311418 ; 1 ; Dredge ; gmf ; MTGO Competitive Vintage League ; Vintage ; 2 ; Wed Dec 27 2017
17960 ; 311417 ; 2 ; Landstill ; VedX ; MTGO Competitive Vintage League ; Vintage ; 2 ; Wed Dec 27 2017
25449 ; 383719 ; 1 ; BUG Midrange ; Clone9 ; MTGO Vintage Challenge ; Vintage ; 8 ; Sun Apr 26 2020
25449 ; 383718 ; 2 ; Breach ; Alpha_Omega ; MTGO Vintage Challenge ; Vintage ; 8 ; Sun Apr 26 2020
25449 ; 383717 ; 3 ; BUG Midrange ; Pun1sher ; MTGO Vintage Challenge ; Vintage ; 8 ; Sun Apr 26 2020
25449 ; 383716 ; 4 ; Jeskai Aggro ; atlante ; MTGO Vintage Challenge ; Vintage ; 8 ; Sun Apr 26 2020
25449 ; 383715 ; 5 ; Paradoxical Storm ; thepowernine ; MTGO Vintage Challenge ; Vintage ; 8 ; Sun Apr 26 2020
25449 ; 383714 ; 6 ; MUD ; Team5c ; MTGO Vintage Challenge ; Vintage ; 8 ; Sun Apr 26 2020
25449 ; 383713 ; 7 ; Grixis Control ; thedeck84 ; MTGO Vintage Challenge ; Vintage ; 8 ; Sun Apr 26 2020
25449 ; 383712 ; 8 ; Oath of Druids ; Pohlman ; MTGO Vintage Challenge ; Vintage ; 8 ; Sun Apr 26 2020
24875 ; 374094 ; 1 ; Tymna + Thrasios ; Pierre Mengin ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; Duel Commander ; 40 ; Sun Mar 01 2020
24875 ; 374095 ; 2 ; Gadwick, The Wizened ; Damien Garcia ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; Duel Commander ; 40 ; Sun Mar 01 2020
24875 ; 374096 ; 3-4 ; Gitrog ; Antoine Vieilledent ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; Duel Commander ; 40 ; Sun Mar 01 2020
24875 ; 374097 ; 3-4 ; Uro ; Andy Sieurac ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; Duel Commander ; 40 ; Sun Mar 01 2020
24875 ; 374098 ; 5-8 ; Kari Zev, Skyship Raider ; Pierre-Jean Eychenne ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; Duel Commander ; 40 ; Sun Mar 01 2020
24875 ; 374093 ; 5-8 ; Karlov Of The Ghost Council ; Dorian Matichard ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; Duel Commander ; 40 ; Sun Mar 01 2020
24875 ; 374091 ; 5-8 ; Uro, Titan Of Nature's Wrath ; Simon Carri� ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; Duel Commander ; 40 ; Sun Mar 01 2020
24875 ; 374092 ; 5-8 ; Will And Ronan Kentith ; Julien Castela ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; Duel Commander ; 40 ; Sun Mar 01 2020
17943 ; 311325 ; 1 ; Paradoxical Mentor ; Atog_215 ; MTGO Competitive Vintage League ; Vintage ; 2 ; Sat Dec 23 2017
17943 ; 311326 ; 2 ; Snapcaster Control ; ReneRandrup ; MTGO Competitive Vintage League ; Vintage ; 2 ; Sat Dec 23 2017
25570 ; 387163 ; 1 ; Boros Aggro ; _Antoniou_ ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387164 ; 2 ; Lotus Field ; gottelicious ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387165 ; 3 ; Red Deck Wins ; KelMasterP ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387166 ; 4 ; Jeskai Cycling ; flabbergasted ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387167 ; 5 ; Lotus Field ; elhappi ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387168 ; 6 ; UW Yorion Control ; WhiTe TsaR ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387169 ; 7 ; Orzhov Sram ; Mlgb92 ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387170 ; 8 ; Golgari Scales ; i_dont_know ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387163 ; 1 ; Boros Aggro ; _Antoniou_ ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387164 ; 2 ; Lotus Field ; gottelicious ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387165 ; 3 ; Red Deck Wins ; KelMasterP ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387166 ; 4 ; Jeskai Cycling ; flabbergasted ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387167 ; 5 ; Lotus Field ; elhappi ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387168 ; 6 ; UW Yorion Control ; WhiTe TsaR ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387169 ; 7 ; Orzhov Sram ; Mlgb92 ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
25570 ; 387170 ; 8 ; Golgari Scales ; i_dont_know ; MTGO Pioneer Challenge ; Pioneer ; 8 ; Mon May 04 2020
14321 ; 285487 ; 1 ; Geist of Saint Traft ; Douglas Rizzi ; Liga DC Comando Games ; Duel Commander ; 8 ; Sat Dec 17 2016
14321 ; 285488 ; 2 ; Thalia, Guardian of Thraben ; Maikon Marques ; Liga DC Comando Games ; Duel Commander ; 8 ; Sat Dec 17 2016
25496 ; 385217 ; 1 ; Weenie White ; JoaoFialho ; MTGO Pioneer League ; Pioneer ; 8 ; Thu Apr 30 2020
25496 ; 385218 ; 2 ; Red Deck Wins ; 9Plan ; MTGO Pioneer League ; Pioneer ; 8 ; Thu Apr 30 2020
